0;0;327625;5382;26993;test
0;0;334513;5382;20105;test
0;0;331878;5382;22740;test
0;0;322473;5378;32149;test
0;0;337275;5382;17343;test
0;0;335834;5382;18784;test
0;0;336106;5382;18512;test
0;0;330094;5379;24527;test
0;0;333852;5370;20778;test
0;0;337185;5382;17433;test
0;0;336687;5382;17931;test
0;0;337142;5382;17476;test
0;0;333127;5382;21491;test
0;0;334792;5382;19826;test
0;0;335146;5382;19472;test
0;0;328885;5380;25735;test
0;0;325945;5376;28679;test
0;0;336213;5382;18405;test
0;0;336831;5382;17787;test
0;0;325952;5378;28670;test
0;0;334602;5382;20016;test
0;0;327463;5376;27161;test
0;0;335626;5382;18992;test
0;0;336598;5382;18020;test
0;0;332798;5382;21820;test
0;0;330791;5382;23827;test
0;0;325676;5382;28942;test
0;0;322780;5368;31852;test
0;0;331331;5380;23289;test
0;0;325690;5376;28934;test
0;0;323345;5378;31277;test
0;0;325295;5382;29323;test
0;0;326122;5374;28504;test
0;0;335944;5382;18674;test
0;0;324647;5378;29975;test
0;0;327414;5378;27208;test
0;0;325818;5380;28802;test
0;0;326900;5382;27718;test
0;0;325356;5382;29262;test
0;0;332265;5382;22353;test
0;0;332888;5382;21730;test
0;0;329032;5378;25590;test
0;0;333935;5382;20683;test
0;0;321641;5379;32980;test
0;0;321059;5382;33559;test
0;0;329408;5382;25210;test
0;0;331833;5382;22785;test
0;0;331403;5382;23215;test
0;0;337009;5382;17609;test
0;0;335548;5382;19070;test
0;0;323566;5382;31052;test
0;0;324500;5378;30122;test
0;0;334334;5382;20284;test
0;0;328190;5382;26428;test
0;0;332670;5382;21948;test
0;0;315592;5378;39030;test
0;0;328541;5378;26081;test
1;0;324989;5382;29629;test
1;0;326964;5382;27654;test
1;0;325455;5370;29175;test
1;0;330734;5376;23890;test
1;0;328593;5382;26025;test
1;0;323145;5303;31552;test
1;0;333546;5382;21072;test
1;0;325875;5382;28743;test
1;0;333029;5382;21589;test
1;0;333698;5382;20920;test
1;0;330897;5378;23725;test
1;0;334265;5382;20353;test
1;0;323322;5382;31296;test
1;0;334008;5310;20682;test
1;0;329123;5376;25501;test
0;0;323070;5382;31548;training
0;0;322293;5382;32325;training
0;0;322475;5382;32143;training
0;0;327898;5382;26720;training
0;0;322303;5382;32315;training
0;0;320234;5382;34384;training
0;0;322472;5382;32146;training
0;0;322138;5382;32480;training
0;0;322605;5382;32013;training
0;0;322166;5382;32452;training
0;0;322166;5382;32452;training
0;0;322331;5382;32287;training
0;0;322358;5382;32260;training
0;0;322898;5382;31720;training
0;0;327682;5382;26936;training
0;0;330674;5382;23944;training
0;0;328245;5378;26377;training
0;0;329142;5372;25486;training
0;0;326895;5380;27725;training
0;0;320845;5372;33783;training
0;0;327352;5382;27266;training
0;0;327527;5382;27091;training
0;0;327564;5382;27054;training
0;0;326109;5382;28509;training
0;0;326340;5378;28282;training
0;0;327645;5382;26973;training
0;0;326810;5380;27810;training
0;0;327266;5380;27354;training
0;0;331268;5374;23358;training
0;0;326936;5382;27682;training
0;0;324529;5382;30089;training
0;0;331338;5370;23292;training
0;0;326220;5378;28402;training
0;0;310203;5370;44427;training
0;0;330105;5372;24523;training
0;0;330594;5374;24032;training
0;0;333399;5382;21219;training
0;0;327685;5382;26933;training
0;0;330399;5378;24223;training
0;0;326361;5382;28257;training
0;0;326224;5376;28400;training
0;0;326617;5382;28001;training
0;0;323165;5382;31453;training
0;0;324393;5230;30377;training
0;0;324156;5382;30462;training
0;0;328665;5382;25953;training
0;0;323755;5382;30863;training
0;0;308349;5382;46269;training
0;0;329540;5382;25078;training
0;0;329417;5382;25201;training
0;0;329390;5382;25228;training
0;0;323563;5382;31055;training
0;0;323330;5381;31289;training
0;0;323301;5382;31317;training
0;0;329367;5382;25251;training
0;0;329626;5382;24992;training
0;0;335490;5382;19128;training
0;0;335502;5382;19116;training
0;0;335486;5382;19132;training
0;0;336022;5382;18596;training
0;0;335488;5382;19130;training
0;0;332492;5382;22126;training
0;0;335486;5382;19132;training
0;0;335502;5382;19116;training
0;0;335499;5382;19119;training
0;0;335488;5382;19130;training
0;0;335488;5382;19130;training
0;0;335488;5382;19130;training
0;0;335500;5382;19118;training
0;0;335499;5382;19119;training
0;0;335664;5380;18956;training
0;0;334254;5382;20364;training
0;0;329108;5376;25516;training
0;0;334506;5382;20112;training
0;0;333966;5380;20654;training
0;0;334065;5382;20553;training
0;0;336477;5382;18141;training
0;0;336529;5382;18089;training
0;0;336501;5382;18117;training
0;0;336761;5382;17857;training
0;0;336534;5382;18084;training
0;0;335184;5382;19434;training
0;0;336547;5382;18071;training
0;0;336481;5382;18137;training
0;0;336499;5382;18119;training
0;0;336496;5382;18122;training
0;0;336496;5382;18122;training
0;0;336496;5382;18122;training
0;0;336513;5382;18105;training
0;0;336499;5382;18119;training
0;0;323706;5382;30912;training
0;0;327532;5382;27086;training
0;0;315963;4994;39043;training
0;0;328474;5382;26144;training
0;0;328887;5376;25737;training
0;0;329990;5382;24628;training
0;0;332451;5382;22167;training
0;0;333817;5382;20801;training
0;0;333749;5382;20869;training
0;0;335002;5378;19620;training
0;0;333756;5382;20862;training
0;0;326307;5382;28311;training
0;0;332885;5382;21733;training
0;0;333185;5382;21433;training
0;0;332994;5382;21624;training
0;0;332952;5382;21666;training
0;0;333568;5382;21050;training
0;0;332491;5382;22127;training
0;0;331270;5382;23348;training
0;0;332343;5382;22275;training
0;0;336604;5382;18014;training
0;0;336601;5382;18017;training
0;0;336606;5382;18012;training
0;0;336732;5382;17886;training
0;0;336606;5382;18012;training
0;0;334798;5382;19820;training
0;0;336606;5382;18012;training
0;0;336601;5382;18017;training
0;0;336612;5382;18006;training
0;0;336606;5382;18012;training
0;0;336606;5382;18012;training
0;0;336606;5382;18012;training
0;0;336620;5382;17998;training
0;0;336612;5382;18006;training
0;0;337016;5382;17602;training
0;0;337013;5382;17605;training
0;0;337034;5382;17584;training
0;0;337082;5382;17536;training
0;0;337009;5382;17609;training
0;0;335706;5382;18912;training
0;0;337034;5382;17584;training
0;0;337013;5382;17605;training
0;0;337032;5382;17586;training
0;0;337009;5382;17609;training
0;0;337009;5382;17609;training
0;0;337009;5382;17609;training
0;0;337035;5382;17583;training
0;0;337032;5382;17586;training
0;0;336857;5382;17761;training
0;0;336846;5382;17772;training
0;0;337041;5382;17577;training
0;0;336120;5382;18498;training
0;0;337098;5382;17520;training
0;0;333126;5382;21492;training
0;0;336865;5382;17753;training
0;0;336655;5382;17963;training
0;0;336653;5382;17965;training
0;0;336650;5382;17968;training
0;0;336818;5382;17800;training
0;0;336658;5382;17960;training
0;0;335542;5382;19076;training
0;0;336650;5382;17968;training
0;0;336653;5382;17965;training
