epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1410.01,3.70145,5.30296,2.7067,0.45489,0.38934,0.40922,0.15557,3.98323,6.53494,4.10412,0.00159934,0.00159934,0.00159934
43,1443.52,3.84852,5.21521,2.76788,0.66352,0.33434,0.38204,0.18089,3.65732,6.39124,3.46549,0.00159769,0.00159769,0.00159769
44,1476.4,3.89284,5.20605,2.83337,0.37108,0.42213,0.35439,0.13733,3.67819,6.64608,3.35784,0.00159604,0.00159604,0.00159604
45,1509.59,3.78256,5.25451,2.77614,0.3236,0.28962,0.27849,0.10902,3.51767,6.7739,3.45243,0.00159439,0.00159439,0.00159439
46,1542.21,3.81463,4.49518,2.62163,0.3386,0.38589,0.30256,0.10504,3.72169,6.62263,3.4936,0.00159274,0.00159274,0.00159274
47,1574.73,3.69903,4.64558,2.68402,0.32559,0.3567,0.3443,0.14857,3.97782,6.96825,3.76795,0.00159108,0.00159108,0.00159108
48,1608.31,3.86705,4.71766,2.6082,0.18242,0.35519,0.20155,0.07392,4.05443,6.42076,3.84696,0.00158943,0.00158943,0.00158943
49,1641.44,3.9457,4.53206,2.75736,0.27878,0.25683,0.15409,0.05595,4.13944,6.39064,3.86764,0.00158778,0.00158778,0.00158778
50,1675.43,3.59662,4.73398,2.68329,0.22981,0.26503,0.20055,0.07894,4.13131,6.28279,3.61249,0.00158613,0.00158613,0.00158613
51,1708.49,3.57008,4.37944,2.60594,0.43317,0.39664,0.3396,0.13338,3.80868,6.09812,3.24134,0.00158448,0.00158448,0.00158448
52,1741.02,3.80109,4.70768,2.64906,0.51732,0.36979,0.32386,0.10823,3.70737,5.89678,3.05153,0.00158283,0.00158283,0.00158283
53,1773.53,3.85019,4.28077,2.68987,0.30466,0.45492,0.25746,0.08964,3.48185,5.59991,2.84606,0.00158118,0.00158118,0.00158118
54,1805.85,3.74795,4.7701,2.70832,0.32663,0.45492,0.25134,0.09437,3.53597,5.45264,3.06741,0.00157953,0.00157953,0.00157953
55,1838.69,3.88332,3.90927,2.63873,0.38169,0.38442,0.26454,0.10193,3.55409,5.80013,3.14095,0.00157788,0.00157788,0.00157788
56,1871.41,3.9585,4.36298,2.74238,0.21202,0.17213,0.16735,0.06988,3.50094,5.64692,3.04125,0.00157623,0.00157623,0.00157623
57,1904.21,3.49808,4.2215,2.58736,0.20858,0.26366,0.16588,0.06848,3.51902,5.59263,3.02401,0.00157458,0.00157458,0.00157458
58,1936.79,3.65754,4.07868,2.57926,0.37857,0.34699,0.34011,0.1429,3.38612,5.4573,3.07823,0.00157293,0.00157293,0.00157293
59,1968.08,3.4442,3.9345,2.58864,0.34517,0.3854,0.23297,0.10337,3.24779,5.70187,2.99149,0.00157128,0.00157128,0.00157128
60,1999.54,3.71529,4.40944,2.83248,0.0239,0.50546,0.04748,0.01532,5.11296,9.47087,5.01787,0.00156963,0.00156963,0.00156963
61,2031.21,3.68279,4.17624,2.56033,0.00943,0.40437,0.07438,0.02355,5.00739,8.40424,5.15386,0.00156798,0.00156798,0.00156798
62,2062.98,3.68296,4.09222,2.55271,0.14659,0.04098,0.03792,0.0138,4.77457,7.97143,5.00634,0.00156633,0.00156633,0.00156633
63,2094.16,3.40101,4.02189,2.57485,0.1701,0.1735,0.09951,0.03923,4.47397,7.7638,4.74146,0.00156468,0.00156468,0.00156468
64,2125.63,3.76958,4.0533,2.66947,0.52675,0.14071,0.15954,0.05829,4.30033,8.90278,4.55524,0.00156303,0.00156303,0.00156303
65,2159.07,3.55667,3.59102,2.52331,0.51983,0.13836,0.15179,0.05336,4.79575,8.3301,4.92283,0.00156138,0.00156138,0.00156138
66,2194.03,3.44427,4.00792,2.6387,0.17672,0.10792,0.04096,0.01867,4.98587,8.49077,5.35655,0.00155973,0.00155973,0.00155973
67,2228.56,3.43885,3.7891,2.48915,0.15726,0.09973,0.06121,0.02833,4.86608,8.25023,5.19179,0.00155808,0.00155808,0.00155808
68,2262.43,3.63869,3.71526,2.57768,0.19853,0.22268,0.19766,0.08124,4.24739,5.86192,3.99079,0.00155643,0.00155643,0.00155643
69,2296.43,3.51693,4.00046,2.60554,0.42925,0.3306,0.30236,0.13951,4.0157,5.35196,3.65613,0.00155478,0.00155478,0.00155478
70,2330.04,3.31793,3.6364,2.59455,0.61864,0.28114,0.3713,0.14343,4.04005,4.83557,3.59667,0.00155313,0.00155313,0.00155313
71,2363.44,3.54314,3.70602,2.58861,0.47155,0.32019,0.38939,0.15244,3.57803,4.46782,3.08243,0.00155148,0.00155148,0.00155148
72,2396.99,3.59819,3.68008,2.66697,0.40345,0.36339,0.39738,0.18345,3.52091,4.04721,2.96857,0.00154983,0.00154983,0.00154983
73,2431.11,3.56747,3.63669,2.51213,0.40325,0.57104,0.4016,0.18301,3.55044,4.05584,2.96794,0.00154818,0.00154818,0.00154818
74,2464.71,3.44375,3.80977,2.49742,0.42734,0.38115,0.35791,0.1567,3.557,4.27543,2.9796,0.00154653,0.00154653,0.00154653
75,2498.28,3.47147,3.86968,2.4926,0.24183,0.37158,0.31322,0.15664,3.4077,4.38369,2.94359,0.00154488,0.00154488,0.00154488
76,2531.83,3.5049,3.61245,2.4723,0.28889,0.22268,0.2234,0.10293,3.76536,4.87667,3.12822,0.00154323,0.00154323,0.00154323
77,2565.46,3.60873,3.75079,2.51886,0.36676,0.18169,0.19253,0.08105,4.35937,5.48868,3.63891,0.00154157,0.00154157,0.00154157
78,2599.34,3.75425,3.65765,2.50009,0.29397,0.14891,0.14102,0.04862,4.95232,6.77281,4.44771,0.00153992,0.00153992,0.00153992
79,2634.16,3.75011,3.6614,2.47162,0.26139,0.09145,0.11927,0.03277,4.94185,7.53558,4.78008,0.00153827,0.00153827,0.00153827
80,2669.48,3.5299,3.44782,2.40313,0.25894,0.14071,0.09117,0.03242,4.85504,8.74268,4.60566,0.00153662,0.00153662,0.00153662
81,2703.39,3.60617,3.75114,2.60131,0.26054,0.34836,0.18329,0.06216,4.34394,8.54444,4.1814,0.00153497,0.00153497,0.00153497
82,2737.05,3.37111,3.5472,2.55751,0.44186,0.43852,0.34059,0.14026,3.67211,5.88827,3.22878,0.00153332,0.00153332,0.00153332
83,2770.38,3.49064,3.81188,2.55552,0.56184,0.35519,0.41991,0.16781,3.58037,4.39745,2.97296,0.00153167,0.00153167,0.00153167
84,2803.82,3.55011,3.49195,2.5487,0.71276,0.26008,0.43165,0.1583,3.76442,4.84779,3.06053,0.00153002,0.00153002,0.00153002
85,2837.61,3.21803,3.56304,2.52588,0.47287,0.53844,0.48199,0.21861,3.74211,4.42543,2.92876,0.00152837,0.00152837,0.00152837
86,2870.87,3.69336,3.33668,2.44436,0.31908,0.55464,0.36299,0.17085,4.07561,4.34892,3.45662,0.00152672,0.00152672,0.00152672
87,2904.09,3.43333,3.52262,2.47953,0.33176,0.53005,0.3722,0.18719,3.80212,4.81714,3.33342,0.00152507,0.00152507,0.00152507
88,2937.54,3.85937,3.30912,2.49509,0.3973,0.28482,0.28326,0.13548,3.6986,5.83341,3.40937,0.00152342,0.00152342,0.00152342
89,2970.7,3.54811,3.38401,2.49365,0.27551,0.41393,0.29471,0.13579,4.06199,7.03039,3.60193,0.00152177,0.00152177,0.00152177
90,3003.66,3.15669,3.25743,2.51887,0.34016,0.3306,0.26352,0.11629,4.22684,6.69106,3.79556,0.00152012,0.00152012,0.00152012
91,3036.65,3.30639,3.28334,2.39476,0.32024,0.3306,0.25433,0.1124,4.0199,5.6954,3.70307,0.00151847,0.00151847,0.00151847
92,3069.87,3.45159,3.25296,2.51596,0.45756,0.40574,0.33744,0.15737,3.81224,4.41357,3.34778,0.00151682,0.00151682,0.00151682
93,3103.53,3.44948,3.29476,2.50221,0.63551,0.39701,0.39457,0.15823,3.79642,4.25781,3.30775,0.00151517,0.00151517,0.00151517
94,3136.75,3.52498,3.24622,2.50277,0.45543,0.31036,0.33263,0.13805,3.80049,4.45552,3.30206,0.00151352,0.00151352,0.00151352
95,3169.96,3.42742,3.1655,2.51345,0.45033,0.32102,0.3793,0.14941,3.2673,4.3107,2.91362,0.00151187,0.00151187,0.00151187
96,3203.93,3.2747,3.08447,2.45742,0.80994,0.30125,0.46424,0.20468,3.35195,3.91519,2.81579,0.00151022,0.00151022,0.00151022
97,3237.83,3.28342,3.075,2.4764,0.93554,0.29918,0.46201,0.20702,3.32638,4.14918,2.93952,0.00150857,0.00150857,0.00150857
98,3272.11,3.27731,3.11863,2.41615,1,0.29608,0.46132,0.22238,3.30853,3.89238,2.82775,0.00150692,0.00150692,0.00150692
99,3307.52,3.18944,3.08035,2.44186,0.74402,0.39891,0.50711,0.24008,3.37081,3.7828,2.79019,0.00150527,0.00150527,0.00150527
100,3342.48,3.35517,3.07606,2.40776,0.67947,0.4071,0.47674,0.22865,3.63842,3.99567,2.93499,0.00150362,0.00150362,0.00150362
101,3376.78,3.35889,2.96124,2.52534,0.73927,0.39071,0.50601,0.24119,3.57616,3.99371,2.99122,0.00150197,0.00150197,0.00150197
102,3411.61,3.14407,2.94761,2.45178,0.634,0.53791,0.56626,0.24859,3.5476,3.71734,2.99974,0.00150032,0.00150032,0.00150032
103,3445.48,3.332,2.97662,2.53453,0.74922,0.5806,0.61028,0.27118,3.24688,3.84107,2.87047,0.00149867,0.00149867,0.00149867
