epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1435.23,3.93495,4.90725,2.74167,0.53985,0.14071,0.17849,0.08597,4.27733,11.4024,4.62245,0.00159934,0.00159934,0.00159934
43,1468.33,3.95776,5.07479,2.72721,0.20982,0.15452,0.15347,0.09116,4.32937,11.1994,4.28719,0.00159769,0.00159769,0.00159769
44,1501.52,3.78365,5.02958,2.73747,0.44183,0.17319,0.18117,0.07384,3.68249,8.62339,3.50529,0.00159604,0.00159604,0.00159604
45,1534.18,3.80971,4.7598,2.80159,0.32109,0.16913,0.17295,0.0666,3.59759,8.20138,3.34462,0.00159439,0.00159439,0.00159439
46,1567.34,3.68087,4.33457,2.55054,0.17086,0.23907,0.17703,0.06738,3.67571,7.5168,3.62908,0.00159274,0.00159274,0.00159274
47,1600.6,3.74732,4.6238,2.72092,0.17968,0.23087,0.16487,0.06489,3.57627,7.68214,3.50178,0.00159108,0.00159108,0.00159108
48,1633.76,3.80336,4.69623,2.77373,0.24833,0.23087,0.24308,0.09333,3.89212,9.22372,3.54753,0.00158943,0.00158943,0.00158943
49,1666.91,3.75613,4.56886,2.75839,0.32131,0.20628,0.20837,0.07894,3.89313,8.79367,3.73986,0.00158778,0.00158778,0.00158778
50,1700.95,3.77359,4.63122,2.69315,0.23225,0.3224,0.15731,0.06486,3.88174,8.49342,3.82773,0.00158613,0.00158613,0.00158613
51,1735.43,3.63544,4.32359,2.62685,0.25008,0.41568,0.24628,0.09692,3.67605,7.99073,3.58017,0.00158448,0.00158448,0.00158448
52,1769.41,3.74703,4.39144,2.62239,0.18543,0.37295,0.14365,0.07097,3.58715,8.24522,3.27232,0.00158283,0.00158283,0.00158283
53,1803.43,3.60988,4.54936,2.74555,0.15494,0.19809,0.13487,0.06257,3.84718,7.8997,3.51362,0.00158118,0.00158118,0.00158118
54,1837.46,3.79897,4.43289,2.61607,0.2964,0.14845,0.12114,0.05909,4.19969,7.92075,4.11464,0.00157953,0.00157953,0.00157953
55,1871.3,3.72715,4.19381,2.61356,0.20118,0.18169,0.16437,0.08162,3.82456,8.6855,3.59653,0.00157788,0.00157788,0.00157788
56,1905.34,3.40483,4.43139,2.69221,0.3586,0.22268,0.17789,0.07951,4.02802,13.1289,3.70771,0.00157623,0.00157623,0.00157623
57,1939.29,3.70109,4.31913,2.81141,0.39953,0.20628,0.26427,0.11794,3.79897,13.414,3.40854,0.00157458,0.00157458,0.00157458
58,1973.38,3.58441,3.9245,2.53177,0.4423,0.30601,0.28007,0.13271,3.66171,10.6301,3.45929,0.00157293,0.00157293,0.00157293
59,2007.59,3.55947,4.17658,2.56059,0.27786,0.33838,0.21745,0.09067,3.8333,8.6155,3.3021,0.00157128,0.00157128,0.00157128
60,2041.34,3.64315,4.35046,2.70332,0.44675,0.34699,0.3357,0.08841,3.42218,6.51254,2.88633,0.00156963,0.00156963,0.00156963
61,2074.64,3.57719,3.84271,2.48731,0.40841,0.35519,0.30203,0.102,3.42651,5.30437,2.83609,0.00156798,0.00156798,0.00156798
62,2107.79,3.63156,4.01519,2.60595,0.34335,0.3224,0.31489,0.10079,3.54926,4.99034,2.91371,0.00156633,0.00156633,0.00156633
63,2141.22,3.33115,3.96347,2.52442,0.2809,0.26459,0.28077,0.1142,3.48029,4.79311,2.8762,0.00156468,0.00156468,0.00156468
64,2174.5,3.5331,3.75842,2.53031,0.28203,0.45492,0.37095,0.15006,3.33148,5.04046,2.92849,0.00156303,0.00156303,0.00156303
65,2207.82,3.67368,3.64707,2.64014,0.24886,0.47131,0.26402,0.11202,3.41886,4.92889,2.9046,0.00156138,0.00156138,0.00156138
66,2241.23,3.56876,3.81605,2.55001,0.28952,0.41393,0.26451,0.12037,3.4658,4.87352,2.91073,0.00155973,0.00155973,0.00155973
67,2274.45,3.76209,3.65849,2.53401,0.52888,0.4052,0.38504,0.18029,3.63489,4.71879,3.12397,0.00155808,0.00155808,0.00155808
68,2308.05,3.69644,3.59209,2.55047,0.38535,0.34699,0.38978,0.1772,3.59973,4.70553,3.23493,0.00155643,0.00155643,0.00155643
69,2341.64,3.82192,3.76945,2.50215,0.39005,0.43033,0.3316,0.16005,3.60139,4.56051,3.18983,0.00155478,0.00155478,0.00155478
70,2375.16,3.53545,3.5825,2.583,0.35551,0.51567,0.37282,0.16034,3.71376,4.67071,3.09324,0.00155313,0.00155313,0.00155313
71,2408.17,3.38145,3.28271,2.52943,0.32725,0.55464,0.35414,0.16839,3.51749,4.82995,3.08569,0.00155148,0.00155148,0.00155148
72,2441.36,3.54884,3.69751,2.54032,0.4684,0.44672,0.39468,0.19818,3.56527,5.00557,3.12632,0.00154983,0.00154983,0.00154983
73,2474.61,3.35758,3.74114,2.5911,0.38999,0.33145,0.35923,0.16937,3.28658,4.52434,2.94141,0.00154818,0.00154818,0.00154818
74,2507.85,3.33095,3.42775,2.3764,0.42723,0.34699,0.37062,0.14375,3.5617,4.55306,2.91183,0.00154653,0.00154653,0.00154653
75,2540.98,3.62041,3.60733,2.52269,0.493,0.28142,0.3312,0.12789,3.59892,4.48324,2.91789,0.00154488,0.00154488,0.00154488
76,2574.14,3.38975,3.45508,2.49689,0.46319,0.32186,0.31182,0.10575,3.52456,4.5155,2.82945,0.00154323,0.00154323,0.00154323
77,2607.33,3.46393,3.75245,2.53749,0.36992,0.35032,0.31146,0.11677,3.24208,4.61745,2.695,0.00154157,0.00154157,0.00154157
78,2640.45,3.55652,3.5272,2.57857,0.3371,0.43033,0.34129,0.14571,3.20888,4.65054,2.68854,0.00153992,0.00153992,0.00153992
79,2673.87,3.47471,3.47184,2.48199,0.46904,0.29781,0.33758,0.14481,3.22124,4.72223,2.66746,0.00153827,0.00153827,0.00153827
80,2707.17,3.65715,3.29912,2.4737,0.42461,0.40574,0.42398,0.18665,3.19162,4.86123,2.80419,0.00153662,0.00153662,0.00153662
81,2740.68,3.3657,3.64937,2.57201,0.43712,0.40908,0.45647,0.19378,3.31616,4.78841,2.86411,0.00153497,0.00153497,0.00153497
82,2774.56,3.43528,3.48757,2.60056,0.62129,0.35656,0.46298,0.18894,3.48921,4.51036,2.97106,0.00153332,0.00153332,0.00153332
83,2808.09,3.26626,3.51638,2.60611,0.55053,0.41033,0.489,0.2024,3.53115,4.2413,2.99016,0.00153167,0.00153167,0.00153167
84,2841.94,3.32445,3.08584,2.48248,0.54362,0.34699,0.41624,0.18365,3.54011,4.29527,3.07646,0.00153002,0.00153002,0.00153002
85,2876.81,3.26558,3.46677,2.42949,0.54012,0.3388,0.39618,0.17207,3.25841,4.21133,2.88755,0.00152837,0.00152837,0.00152837
86,2910.65,3.40266,3.26799,2.38706,0.309,0.37836,0.30076,0.1352,3.32277,4.25359,2.9796,0.00152672,0.00152672,0.00152672
87,2944.11,3.37318,3.33969,2.51763,0.28547,0.54645,0.28859,0.12228,3.45504,4.44281,3.11344,0.00152507,0.00152507,0.00152507
88,2977.61,3.39987,3.38723,2.43032,0.27704,0.34699,0.20945,0.08034,3.79993,4.91469,3.16771,0.00152342,0.00152342,0.00152342
89,3010.19,3.72183,3.34225,2.51641,0.21996,0.28005,0.22328,0.08861,3.73018,4.26332,2.97843,0.00152177,0.00152177,0.00152177
90,3043.28,3.40713,3.21367,2.47348,0.22181,0.36339,0.2226,0.08832,3.61059,4.36226,2.881,0.00152012,0.00152012,0.00152012
91,3076.41,3.64926,3.22268,2.39655,0.29734,0.29781,0.24034,0.09362,3.67542,4.33053,2.96305,0.00151847,0.00151847,0.00151847
92,3109.69,3.50781,3.36384,2.55821,0.32977,0.35519,0.28875,0.14958,3.572,4.35585,2.98351,0.00151682,0.00151682,0.00151682
93,3142.99,3.39001,3.20726,2.46725,0.23676,0.27186,0.17998,0.08522,3.61725,4.42209,3.19927,0.00151517,0.00151517,0.00151517
94,3176.36,3.42665,3.10427,2.46579,0.67333,0.13115,0.12153,0.05252,4.13179,5.26104,4.00196,0.00151352,0.00151352,0.00151352
95,3209.66,3.49003,3.29154,2.58103,0.00258,0.13251,0.0837,0.0171,5.61259,10.2774,6.18681,0.00151187,0.00151187,0.00151187
96,3243.01,3.47294,3.15329,2.55434,0.00056,0.17486,0.00063,0.00027,5.96044,11.4277,6.45695,0.00151022,0.00151022,0.00151022
97,3276.26,3.26436,3.18722,2.42249,0.00023,0.16667,0.00073,0.00023,5.90434,11.2799,6.25505,0.00150857,0.00150857,0.00150857
98,3309.36,3.35186,2.9298,2.37231,0.00016,0.08333,0.00117,0.00058,5.69385,10.3976,5.89866,0.00150692,0.00150692,0.00150692
99,3342.22,3.31739,3.0098,2.38301,0.00038,0.16667,0.00158,0.00057,5.69817,10.9204,6.03663,0.00150527,0.00150527,0.00150527
100,3375.3,3.3337,3.10541,2.57557,0.81997,0.15574,0.17351,0.07542,4.03823,4.15722,3.43843,0.00150362,0.00150362,0.00150362
101,3408.42,3.2362,2.97627,2.45946,0.55591,0.31261,0.34487,0.18668,3.42767,3.53552,2.86189,0.00150197,0.00150197,0.00150197
102,3441.72,3.14762,2.79034,2.4345,0.56993,0.47344,0.46059,0.2015,3.23051,3.61086,2.6912,0.00150032,0.00150032,0.00150032
103,3474.89,3.2528,3.07034,2.40153,0.34495,0.36339,0.29399,0.14427,3.31268,3.70979,2.68911,0.00149867,0.00149867,0.00149867
104,3508.35,3.42653,3.24335,2.4791,0.17829,0.18033,0.23139,0.11003,3.37513,3.72414,2.93407,0.00149702,0.00149702,0.00149702
105,3541.67,3.33154,3.08418,2.46934,0.23941,0.19672,0.18593,0.08789,3.53781,4.12219,3.20787,0.00149537,0.00149537,0.00149537
106,3575.06,3.45894,3.04676,2.42553,0.23809,0.10656,0.129,0.05276,4.03839,5.06247,3.68707,0.00149372,0.00149372,0.00149372
107,3608.14,3.37508,3.05748,2.53716,0.03849,0.37978,0.07383,0.02836,4.71623,7.35216,4.61055,0.00149207,0.00149207,0.00149207
108,3641.48,3.47407,3.03014,2.4852,0.0409,0.38115,0.05573,0.01834,5.3911,8.49171,5.38135,0.00149041,0.00149041,0.00149041
109,3674.57,3.31829,3.17652,2.48725,0.03838,0.37295,0.04946,0.01784,5.32628,8.66076,5.33601,0.00148876,0.00148876,0.00148876
110,3707.74,3.38067,2.79196,2.34887,0.03269,0.26503,0.04197,0.01508,5.50846,9.20983,5.54356,0.00148711,0.00148711,0.00148711
111,3740.84,3.34082,3.12461,2.41983,0.02636,0.26503,0.04081,0.01595,5.56633,9.40152,5.88568,0.00148546,0.00148546,0.00148546
112,3774.16,3.275,3.09402,2.4765,0.01411,0.12432,0.015,0.00734,6.17912,10.6573,7.0084,0.00148381,0.00148381,0.00148381
113,3807.25,3.30956,2.8984,2.42642,0.00379,0.17486,0.00352,0.00198,6.10701,10.8013,6.72636,0.00148216,0.00148216,0.00148216
114,3840.48,3.15286,2.92655,2.33147,0.00677,0.09973,0.00744,0.00346,5.99972,10.5367,6.41432,0.00148051,0.00148051,0.00148051
115,3873.72,3.30097,3.19969,2.46495,0.00677,0.18306,0.00622,0.00428,5.86738,10.6202,6.30937,0.00147886,0.00147886,0.00147886
116,3907.04,3.33883,3.00376,2.51931,0.02814,0.30601,0.04945,0.02798,5.37237,9.50353,5.75947,0.00147721,0.00147721,0.00147721
117,3940.23,3.34631,2.92743,2.37276,0.25235,0.05853,0.07346,0.03987,5.33384,8.54767,5.90395,0.00147556,0.00147556,0.00147556
118,3973.03,3.25806,2.95016,2.41978,0.1682,0.06557,0.09479,0.0475,5.37173,8.43404,5.47313,0.00147391,0.00147391,0.00147391
119,4005.84,3.00567,2.89561,2.31633,0.17474,0.09016,0.09438,0.04753,4.30947,7.27634,4.14141,0.00147226,0.00147226,0.00147226
120,4039.18,3.20129,2.91283,2.43196,0.21412,0.16393,0.15719,0.08066,3.71909,4.32984,3.18885,0.00147061,0.00147061,0.00147061
121,4072.36,3.41994,2.87765,2.39348,0.61794,0.34699,0.38391,0.19669,3.07957,3.27603,2.67032,0.00146896,0.00146896,0.00146896
122,4105.54,3.23164,2.93004,2.45276,0.6952,0.34855,0.43551,0.21114,3.00045,3.40909,2.66956,0.00146731,0.00146731,0.00146731
123,4138.75,3.27197,2.87462,2.41719,0.7916,0.3253,0.42705,0.19827,3.18073,3.37808,2.71955,0.00146566,0.00146566,0.00146566
124,4172.04,3.54198,2.94138,2.42617,0.33432,0.42896,0.34976,0.16463,3.05335,3.18673,2.65248,0.00146401,0.00146401,0.00146401
125,4205.25,3.18461,2.66845,2.36065,0.34879,0.37978,0.30319,0.15322,3.2142,3.38225,2.6955,0.00146236,0.00146236,0.00146236
126,4238.26,3.27773,3.02987,2.4088,0.48819,0.37978,0.35716,0.1822,3.29256,3.35966,2.70008,0.00146071,0.00146071,0.00146071
127,4270.93,3.05791,2.61373,2.34841,0.27533,0.42896,0.38304,0.20011,3.25693,3.3932,2.6152,0.00145906,0.00145906,0.00145906
128,4303.78,3.20615,2.74127,2.33586,0.42741,0.28825,0.33932,0.17376,3.25115,3.49015,2.77464,0.00145741,0.00145741,0.00145741
129,4336.83,3.26582,2.89859,2.37444,0.34033,0.33729,0.35092,0.1661,3.30278,3.48092,2.82607,0.00145576,0.00145576,0.00145576
130,4370.33,3.51551,3.03867,2.51393,0.42743,0.24847,0.30245,0.15082,3.35609,3.60984,2.84928,0.00145411,0.00145411,0.00145411
131,4403.46,3.33609,3.0867,2.40759,0.3333,0.24365,0.22196,0.10315,3.55758,3.72159,2.98828,0.00145246,0.00145246,0.00145246
132,4436.19,3.3794,2.7974,2.3835,0.34511,0.31284,0.26447,0.10974,3.67634,3.65615,3.03683,0.00145081,0.00145081,0.00145081
133,4468.83,3.1215,2.70462,2.29963,0.26861,0.43716,0.27759,0.11997,3.54986,4.07164,3.03673,0.00144916,0.00144916,0.00144916
134,4502.01,3.09033,2.77389,2.33168,0.48794,0.35125,0.34272,0.12951,3.44009,4.23514,3.00212,0.00144751,0.00144751,0.00144751
135,4535.54,3.01857,2.61047,2.40909,0.32975,0.49497,0.40346,0.13446,3.45835,4.13509,2.96845,0.00144586,0.00144586,0.00144586
136,4568.74,3.45189,2.82283,2.54211,0.23563,0.33743,0.28514,0.12681,3.52372,3.18987,2.84473,0.00144421,0.00144421,0.00144421
137,4602.49,3.37045,2.84282,2.45065,0.27701,0.30464,0.2673,0.11798,3.50824,3.21656,2.81321,0.00144256,0.00144256,0.00144256
138,4635.32,3.35216,2.6995,2.39046,0.28867,0.41257,0.28957,0.12747,3.39973,3.14217,2.80434,0.0014409,0.0014409,0.0014409
139,4668.21,3.34137,2.79083,2.42317,0.34273,0.49126,0.33118,0.14278,3.29014,3.01969,2.78846,0.00143925,0.00143925,0.00143925
140,4701.24,3.04056,2.54987,2.24686,0.3692,0.47131,0.39758,0.18303,3.22489,2.88238,2.77666,0.0014376,0.0014376,0.0014376
141,4734.15,3.07418,2.58711,2.41561,0.41681,0.44672,0.39647,0.19152,3.1461,2.88892,2.71366,0.00143595,0.00143595,0.00143595
142,4767.07,3.14135,2.81735,2.35718,0.77049,0.5806,0.61501,0.22695,3.0128,3.25413,2.66326,0.0014343,0.0014343,0.0014343
143,4800.23,3.08015,2.52965,2.32149,0.45128,0.39754,0.49068,0.17617,3.07282,3.51593,2.75795,0.00143265,0.00143265,0.00143265
