epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1421.16,3.99225,4.72096,2.65584,0.35356,0.32377,0.22387,0.08858,3.54726,8.79343,3.40552,0.00159934,0.00159934,0.00159934
43,1454.38,3.73223,4.92018,2.65018,0.18255,0.61339,0.17416,0.0701,3.71084,9.63208,4.02029,0.00159769,0.00159769,0.00159769
44,1487.77,3.74359,5.10114,2.72367,0.27739,0.47404,0.28636,0.1238,3.69152,9.13702,3.45736,0.00159604,0.00159604,0.00159604
45,1520.94,3.89808,5.00672,2.64546,0.23323,0.49727,0.27889,0.1455,3.85301,8.45104,3.56037,0.00159439,0.00159439,0.00159439
46,1554.33,3.86293,4.49701,2.51294,0.26867,0.28005,0.28762,0.12665,3.87964,7.83353,3.6657,0.00159274,0.00159274,0.00159274
47,1587.37,3.61494,4.62744,2.58999,0.63239,0.23907,0.26827,0.11205,3.9657,7.68912,3.6499,0.00159108,0.00159108,0.00159108
48,1620.57,3.72048,4.62074,2.64366,0.52863,0.19809,0.25437,0.10317,3.73643,6.75996,3.2746,0.00158943,0.00158943,0.00158943
49,1653.77,3.57022,4.37477,2.58961,0.36387,0.3224,0.28034,0.11579,3.63159,6.54839,3.31207,0.00158778,0.00158778,0.00158778
50,1686.72,3.43999,4.38214,2.54836,0.24824,0.34699,0.24486,0.09379,3.6047,6.50576,3.15285,0.00158613,0.00158613,0.00158613
51,1720.04,3.60095,4.32255,2.50218,0.28691,0.43033,0.28119,0.10099,3.32344,6.21852,2.96358,0.00158448,0.00158448,0.00158448
52,1754.04,3.77749,4.56699,2.61743,0.30513,0.25546,0.20245,0.09602,3.39985,5.53285,3.09463,0.00158283,0.00158283,0.00158283
53,1788.05,3.8522,4.32582,2.6151,0.31108,0.25526,0.20896,0.09681,3.50726,5.29419,3.12703,0.00158118,0.00158118,0.00158118
54,1822.23,3.59998,4.46047,2.52255,0.40011,0.3306,0.31469,0.17422,3.21588,5.08724,3.0763,0.00157953,0.00157953,0.00157953
55,1856.72,3.75621,4.18573,2.68422,0.62578,0.2699,0.37141,0.20466,3.2621,5.37127,2.95159,0.00157788,0.00157788,0.00157788
56,1890.89,3.83576,4.51348,2.71351,0.37123,0.41973,0.39932,0.19759,3.60036,5.91112,3.4288,0.00157623,0.00157623,0.00157623
57,1925.3,3.35933,4.2318,2.58163,0.45203,0.55503,0.40693,0.15556,3.24234,6.22605,3.23112,0.00157458,0.00157458,0.00157458
58,1959.25,3.54582,3.90804,2.40709,0.28829,0.47268,0.30701,0.10255,3.31204,7.37218,3.38055,0.00157293,0.00157293,0.00157293
59,1992.84,3.4312,3.87614,2.47378,0.35241,0.2564,0.24317,0.07795,3.33452,7.98179,3.38472,0.00157128,0.00157128,0.00157128
60,2026.7,3.66552,4.69377,2.56481,0.34017,0.20628,0.22076,0.09219,3.30112,8.2543,3.04375,0.00156963,0.00156963,0.00156963
61,2059.81,3.32074,3.82462,2.4295,0.37809,0.33726,0.29942,0.12501,3.32105,7.4647,2.93966,0.00156798,0.00156798,0.00156798
62,2092.78,3.82115,4.35453,2.46429,0.34056,0.44809,0.33052,0.13269,3.59338,6.71848,3.21585,0.00156633,0.00156633,0.00156633
63,2125.83,3.36041,3.99369,2.45707,0.33304,0.33197,0.30644,0.13507,3.6299,6.39961,3.1412,0.00156468,0.00156468,0.00156468
64,2158.99,3.38107,3.87512,2.50244,0.37704,0.38115,0.33282,0.14423,3.61768,5.96073,3.29152,0.00156303,0.00156303,0.00156303
65,2192.08,3.41409,3.86073,2.58673,0.40492,0.34704,0.3226,0.15229,3.54599,5.875,3.23666,0.00156138,0.00156138,0.00156138
66,2225.12,3.59684,4.06892,2.61992,0.30404,0.34715,0.26974,0.13342,3.48112,5.76108,3.01596,0.00155973,0.00155973,0.00155973
67,2257.96,3.66143,3.6172,2.58259,0.28933,0.25546,0.26514,0.14331,3.44657,5.24863,2.90731,0.00155808,0.00155808,0.00155808
68,2291.19,3.58264,3.64397,2.56483,0.34556,0.36339,0.34094,0.15593,3.66402,4.83311,3.00468,0.00155643,0.00155643,0.00155643
69,2324.11,3.54447,3.89534,2.5152,0.49502,0.3094,0.361,0.13312,3.62061,4.84238,3.08117,0.00155478,0.00155478,0.00155478
70,2357.19,3.65068,3.50965,2.5521,0.34269,0.39617,0.39319,0.13215,3.5692,4.75096,3.01374,0.00155313,0.00155313,0.00155313
71,2390.39,3.36479,3.63091,2.44164,0.45635,0.47131,0.43514,0.1548,3.41784,4.82014,2.81956,0.00155148,0.00155148,0.00155148
72,2423.59,3.587,3.55388,2.51864,0.43759,0.46416,0.38689,0.15702,3.49874,4.71143,2.89676,0.00154983,0.00154983,0.00154983
73,2456.56,3.53641,3.53009,2.51618,0.40996,0.46728,0.42984,0.17059,3.41561,4.74763,2.81068,0.00154818,0.00154818,0.00154818
74,2489.56,3.52373,3.73554,2.55168,0.41929,0.53348,0.46301,0.19496,3.41454,4.52358,2.81023,0.00154653,0.00154653,0.00154653
75,2522.78,3.51998,3.5076,2.50926,0.35488,0.42896,0.42803,0.15219,3.6141,4.43332,2.95691,0.00154488,0.00154488,0.00154488
76,2556.18,3.54498,3.39372,2.53828,0.46753,0.54645,0.50845,0.18537,3.87191,4.26652,3.11631,0.00154323,0.00154323,0.00154323
77,2589.23,3.50585,3.51946,2.60036,0.41207,0.43447,0.34862,0.12961,3.56433,4.99727,3.17256,0.00154157,0.00154157,0.00154157
78,2622.39,3.79447,3.50254,2.54449,0.35699,0.34016,0.22546,0.09465,3.74182,6.65976,3.24919,0.00153992,0.00153992,0.00153992
79,2655.77,3.63959,3.53069,2.41076,0.26324,0.37966,0.21897,0.09568,3.66691,6.03279,3.16598,0.00153827,0.00153827,0.00153827
80,2689.09,3.51889,3.36922,2.41973,0.43753,0.53887,0.39441,0.16238,3.40604,4.57424,2.86855,0.00153662,0.00153662,0.00153662
81,2722.34,3.53833,3.37419,2.54156,0.45621,0.5724,0.51545,0.18584,3.5266,4.34753,2.89434,0.00153497,0.00153497,0.00153497
82,2755.32,3.32614,3.41349,2.48176,0.42619,0.4959,0.38964,0.13166,3.29712,4.43807,2.69623,0.00153332,0.00153332,0.00153332
83,2788.4,3.41232,3.53443,2.58773,0.74677,0.35519,0.43135,0.15443,3.14188,4.48668,2.59872,0.00153167,0.00153167,0.00153167
84,2821.8,3.47498,3.4062,2.49739,0.42694,0.34699,0.37937,0.19713,2.96794,4.54893,2.54217,0.00153002,0.00153002,0.00153002
85,2855.82,3.37766,3.52583,2.48935,0.3725,0.44672,0.37487,0.1907,3.07029,4.33877,2.59536,0.00152837,0.00152837,0.00152837
86,2889.84,3.28037,3.17273,2.45232,0.41369,0.42213,0.32635,0.12904,3.26024,4.46302,2.73417,0.00152672,0.00152672,0.00152672
87,2923.11,3.41723,3.55182,2.5023,0.40147,0.43852,0.35208,0.14586,3.17686,4.43772,2.68461,0.00152507,0.00152507,0.00152507
88,2956.69,3.36002,3.09782,2.35448,0.40098,0.41162,0.2969,0.11561,3.51104,5.53385,2.93406,0.00152342,0.00152342,0.00152342
89,2990.03,3.38554,3.21972,2.44377,0.2847,0.46311,0.27352,0.10628,3.49357,5.18732,2.94413,0.00152177,0.00152177,0.00152177
90,3023.54,3.33065,3.09346,2.43901,0.30014,0.39617,0.27205,0.11537,3.33906,4.33287,2.82495,0.00152012,0.00152012,0.00152012
91,3056.8,3.52579,3.28899,2.47988,0.28849,0.29645,0.26743,0.12057,3.34136,3.99182,2.76818,0.00151847,0.00151847,0.00151847
92,3090.21,3.57333,3.1688,2.55193,0.13464,0.20628,0.10021,0.04933,4.32462,7.71183,3.89967,0.00151682,0.00151682,0.00151682
93,3123.95,3.29344,3.22587,2.3717,0.32264,0.10792,0.08208,0.02946,4.76081,8.55032,4.36429,0.00151517,0.00151517,0.00151517
94,3157.43,3.35436,3.08726,2.43647,0.17548,0.10792,0.08254,0.03143,5.09972,8.36657,4.89983,0.00151352,0.00151352,0.00151352
95,3191.4,3.29949,3.21314,2.4059,0.26411,0.12681,0.13868,0.06835,5.05826,7.91009,5.00394,0.00151187,0.00151187,0.00151187
96,3224.84,3.5419,3.3586,2.59822,0.81362,0.21657,0.31478,0.17897,3.59464,4.66676,2.99515,0.00151022,0.00151022,0.00151022
97,3258.31,3.59773,3.03379,2.52646,0.43686,0.46448,0.4108,0.18687,3.3605,3.88098,2.77856,0.00150857,0.00150857,0.00150857
98,3291.52,3.50001,3.15404,2.40669,0.28875,0.44672,0.35423,0.14451,3.32532,3.84782,2.7906,0.00150692,0.00150692,0.00150692
99,3324.59,3.32508,3.128,2.47589,0.39683,0.38934,0.30162,0.13584,3.17347,3.64704,2.69108,0.00150527,0.00150527,0.00150527
100,3357.93,3.80446,3.17618,2.54114,0.54485,0.47058,0.46035,0.20397,3.13476,3.68059,2.64411,0.00150362,0.00150362,0.00150362
101,3391.83,3.45838,2.98622,2.52207,0.49035,0.54938,0.43112,0.18034,2.98619,3.64808,2.57811,0.00150197,0.00150197,0.00150197
102,3424.93,3.22002,3.1818,2.4655,0.40573,0.47131,0.35593,0.1453,3.0599,3.79483,2.62022,0.00150032,0.00150032,0.00150032
103,3457.91,3.11975,2.92827,2.34974,0.45018,0.44135,0.36629,0.15099,3.08144,4.02328,2.61017,0.00149867,0.00149867,0.00149867
104,3491.23,3.40645,3.08369,2.44368,0.44321,0.43852,0.32669,0.13432,3.49692,3.61968,3.01239,0.00149702,0.00149702,0.00149702
105,3524.32,3.22359,3.11446,2.4643,0.45834,0.42213,0.34061,0.14567,3.59439,3.41197,3.05339,0.00149537,0.00149537,0.00149537
106,3557.55,3.46939,2.98766,2.38391,0.46728,0.52268,0.48202,0.18518,3.36327,3.51899,2.74373,0.00149372,0.00149372,0.00149372
107,3590.84,3.39407,3.10971,2.43388,0.50549,0.52569,0.47364,0.16922,3.31697,3.48324,2.72154,0.00149207,0.00149207,0.00149207
108,3624.02,3.41769,3.05923,2.50233,0.50035,0.53142,0.45844,0.18119,3.2522,3.34441,2.76901,0.00149041,0.00149041,0.00149041
109,3657.07,3.58565,3.00789,2.51209,0.45584,0.62978,0.45369,0.20214,3.1721,3.42286,2.80983,0.00148876,0.00148876,0.00148876
110,3690.21,3.42869,2.71284,2.41017,0.50334,0.62158,0.48952,0.18987,3.26268,3.41334,2.78729,0.00148711,0.00148711,0.00148711
111,3723.42,3.2285,2.69002,2.37805,0.50899,0.52186,0.49316,0.21409,3.36197,3.29955,2.7476,0.00148546,0.00148546,0.00148546
112,3756.89,3.52587,3.08826,2.52413,0.66355,0.43033,0.48855,0.23273,3.20479,3.14547,2.55798,0.00148381,0.00148381,0.00148381
113,3790.13,3.42008,2.87597,2.30928,0.62487,0.41645,0.46005,0.23038,3.29166,3.08869,2.57208,0.00148216,0.00148216,0.00148216
114,3822.85,3.25637,3.01745,2.27182,0.63058,0.35519,0.44751,0.20279,3.31491,3.09684,2.65413,0.00148051,0.00148051,0.00148051
115,3855.86,3.09125,2.90225,2.25857,0.45106,0.47951,0.39893,0.19822,3.36016,3.20747,2.75187,0.00147886,0.00147886,0.00147886
116,3889.35,3.23309,2.76663,2.39268,0.25834,0.27322,0.15192,0.07242,4.38641,6.14476,3.80482,0.00147721,0.00147721,0.00147721
117,3922.91,3.33467,2.72511,2.32541,0.06698,0.18169,0.06719,0.03675,5.28811,8.71175,4.98813,0.00147556,0.00147556,0.00147556
118,3955.56,3.45335,2.85828,2.38263,0.06473,0.25546,0.0834,0.03603,5.08223,8.08756,4.87756,0.00147391,0.00147391,0.00147391
119,3988.68,3.15266,2.92982,2.3987,0.04446,0.25546,0.06563,0.02858,5.18432,7.67802,5.02925,0.00147226,0.00147226,0.00147226
120,4022.13,3.17877,2.86383,2.41463,0.31768,0.26134,0.29395,0.1142,4.00449,3.88417,3.41859,0.00147061,0.00147061,0.00147061
121,4055.2,3.17322,2.63511,2.37032,0.66369,0.39117,0.4763,0.21344,3.43914,3.22311,2.71385,0.00146896,0.00146896,0.00146896
122,4088.22,3.46178,2.75768,2.36776,0.54926,0.41393,0.48145,0.20878,3.39451,3.44867,2.69871,0.00146731,0.00146731,0.00146731
123,4121.31,3.31475,2.84821,2.46611,0.49622,0.51494,0.52543,0.21521,3.58183,3.64994,2.85454,0.00146566,0.00146566,0.00146566
124,4154.41,3.12002,2.82547,2.38351,0.45267,0.38798,0.47653,0.17818,3.52505,4.09677,2.82229,0.00146401,0.00146401,0.00146401
125,4187.46,3.13516,2.79867,2.35348,0.72994,0.49475,0.59083,0.20485,3.47949,3.8699,2.83666,0.00146236,0.00146236,0.00146236
126,4220.42,3.19546,2.8663,2.42691,0.83726,0.53825,0.61991,0.19202,3.62786,3.6361,2.9492,0.00146071,0.00146071,0.00146071
127,4253.54,3.3424,2.86629,2.37046,0.79703,0.43033,0.58221,0.17987,3.2625,3.46777,2.67135,0.00145906,0.00145906,0.00145906
128,4286.93,3.20344,2.66093,2.42965,0.52798,0.57923,0.59327,0.23579,3.19715,3.15283,2.60414,0.00145741,0.00145741,0.00145741
129,4320.17,3.21723,2.81477,2.53094,0.63153,0.59108,0.62002,0.23827,3.40403,3.07591,2.63604,0.00145576,0.00145576,0.00145576
130,4353.51,3.37774,3.02638,2.43099,0.5564,0.56785,0.55122,0.25572,3.49749,3.00864,2.70032,0.00145411,0.00145411,0.00145411
131,4386.89,3.22432,2.85919,2.51956,0.60609,0.61313,0.61459,0.25658,3.4203,3.0624,2.69007,0.00145246,0.00145246,0.00145246
132,4420.1,3.36008,3.10977,2.4277,0.76786,0.39754,0.56881,0.27356,3.27824,3.23444,2.65161,0.00145081,0.00145081,0.00145081
133,4453,3.29907,3.00965,2.36714,0.6607,0.51366,0.59875,0.28603,3.26393,3.19497,2.64295,0.00144916,0.00144916,0.00144916
134,4486.11,3.30226,2.73373,2.37849,0.6164,0.52209,0.59304,0.26326,3.25517,3.0937,2.65798,0.00144751,0.00144751,0.00144751
