1;0;0.025542501;0.01277125;6.682181507e-09;5.478015907e-05;0.057739523;1.799965826;test
1;0;0.005185663;0.002592831;1.475329619e-08;2.254630821e-06;0.002944589;1.7999777;test
1;0;0.00928981;0.004644905;-6.05E-09;7.240141735e-06;0.008586953;1.799972979;test
1;0;0.0066835;0.00334175;5.516205744e-09;3.740031524e-06;0.006320706;1.799986652;test
1;0;0.006226316;0.003113158;-5.08E-10;3.252485977e-06;0.003831494;1.799972603;test
1;0;0.005605076;0.002802538;9.309923544e-09;2.625628715e-06;0.007273014;1.799995017;test
1;0;0.005102964;0.002551482;4.593532512e-09;2.179495954e-06;0.003988506;1.799988618;test
1;0;0.012460081;0.00623004;-1.61E-08;1.301048446e-05;0.018501127;1.799981166;test
1;0;0.020986766;0.010493382;1.811621542e-08;3.689386693e-05;0.056890913;1.799983989;test
1;0;0.037905239;0.018952621;2.031376006e-08;0.000120228;0.233002747;1.799989863;test
1;0;0.005300753;0.002650377;-9.13E-09;2.358907496e-06;0.002533519;1.799967069;test
1;0;0.009887718;0.004943859;1.306593202e-08;8.261193975e-06;0.004709222;1.799884248;test
1;0;0.008904311;0.004452156;1.727858744e-08;6.648915701e-06;0.008417652;1.799976293;test
1;0;0.004392515;0.002196258;-4.54E-09;1.611977035e-06;0.005019709;1.799996046;test
1;0;0.004820096;0.002410048;-1.19E-08;1.943099985e-06;0.004302044;1.799992188;test
0;0;0.007237306;0.003618653;-7.72E-09;4.389132479e-06;0.006311645;1.799981578;test
0;0;0.006348656;0.003174328;1.043279391e-08;3.3857645e-06;0.003365531;1.799961607;test
0;0;0.008803806;0.004401903;-4.83E-09;6.531084322e-06;0.004663411;1.799925912;test
0;0;0.007235595;0.003617797;-2.66E-09;4.399175393e-06;0.004214519;1.799958669;test
0;0;0.003881297;0.001940649;-4.52E-09;1.261117695e-06;0.002201929;1.799987486;test
0;0;0.008419633;0.004209817;-2.12E-08;5.975420969e-06;0.004147146;1.799921601;test
0;0;0.009014421;0.004507211;2.21546205e-10;6.859592804e-06;0.004212054;1.799900072;test
0;0;0.006555842;0.003277921;-2.07E-09;3.612868551e-06;0.003302256;1.79995461;test
