1;0;324989;5382;29629;test
1;0;326964;5382;27654;test
1;0;325455;5370;29175;test
1;0;330734;5376;23890;test
1;0;328593;5382;26025;test
1;0;323145;5303;31552;test
1;0;333546;5382;21072;test
1;0;325875;5382;28743;test
1;0;333029;5382;21589;test
1;0;333698;5382;20920;test
1;0;330897;5378;23725;test
1;0;334265;5382;20353;test
1;0;323322;5382;31296;test
1;0;334008;5310;20682;test
1;0;329123;5376;25501;test
0;0;327625;5382;26993;test
0;0;334513;5382;20105;test
0;0;331878;5382;22740;test
0;0;322473;5378;32149;test
0;0;337275;5382;17343;test
0;0;335834;5382;18784;test
0;0;336106;5382;18512;test
0;0;330094;5379;24527;test
0;0;333852;5370;20778;test
0;0;337185;5382;17433;test
0;0;336687;5382;17931;test
0;0;337142;5382;17476;test
0;0;333127;5382;21491;test
0;0;334792;5382;19826;test
0;0;335146;5382;19472;test
0;0;328885;5380;25735;test
0;0;325945;5376;28679;test
0;0;336213;5382;18405;test
0;0;336831;5382;17787;test
0;0;325952;5378;28670;test
0;0;334602;5382;20016;test
0;0;327463;5376;27161;test
0;0;335626;5382;18992;test
0;0;336598;5382;18020;test
0;0;332798;5382;21820;test
0;0;330791;5382;23827;test
0;0;325676;5382;28942;test
0;0;322780;5368;31852;test
0;0;331331;5380;23289;test
0;0;325690;5376;28934;test
0;0;323345;5378;31277;test
0;0;325295;5382;29323;test
0;0;326122;5374;28504;test
0;0;335944;5382;18674;test
0;0;324647;5378;29975;test
0;0;327414;5378;27208;test
0;0;325818;5380;28802;test
0;0;326900;5382;27718;test
0;0;325356;5382;29262;test
0;0;332265;5382;22353;test
0;0;332888;5382;21730;test
0;0;329032;5378;25590;test
0;0;333935;5382;20683;test
0;0;321641;5379;32980;test
0;0;321059;5382;33559;test
0;0;329408;5382;25210;test
0;0;331833;5382;22785;test
0;0;331403;5382;23215;test
0;0;337009;5382;17609;test
0;0;335548;5382;19070;test
0;0;323566;5382;31052;test
0;0;324500;5378;30122;test
0;0;334334;5382;20284;test
0;0;328190;5382;26428;test
0;0;332670;5382;21948;test
0;0;315592;5378;39030;test
0;0;328541;5378;26081;test
0;0;335142;5382;19476;training
0;0;336727;5382;17891;training
0;0;322109;5382;32509;training
0;0;326108;5380;28512;training
0;0;330509;5371;24120;training
0;0;330022;5382;24596;training
0;0;335488;5382;19130;training
0;0;334465;5382;20153;training
0;0;328130;5382;26488;training
0;0;333609;5382;21009;training
0;0;336606;5382;18012;training
0;0;337009;5382;17609;training
0;0;336777;5382;17841;training
0;0;336658;5382;17960;training
0;0;336638;5382;17980;training
0;0;336179;5382;18439;training
0;0;334917;5382;19701;training
0;0;336028;5269;18703;training
0;0;336373;5382;18245;training
0;0;325186;5382;29432;training
0;0;334333;5382;20285;training
0;0;335861;5382;18757;training
0;0;336653;5382;17965;training
0;0;336441;5382;18177;training
0;0;336377;5382;18241;training
0;0;336293;5382;18325;training
0;0;332386;5378;22236;training
0;0;336114;5382;18504;training
0;0;335792;5382;18826;training
0;0;329065;5382;25553;training
0;0;322904;5368;31728;training
0;0;320737;5376;33887;training
0;0;330469;5378;24153;training
0;0;329686;5382;24932;training
0;0;325610;5374;29016;training
0;0;327196;5382;27422;training
0;0;325692;5378;28930;training
0;0;325992;5382;28626;training
0;0;329756;5378;24866;training
0;0;332453;5378;22169;training
0;0;328184;5382;26434;training
0;0;332643;5382;21975;training
0;0;332941;5382;21677;training
0;0;321564;5372;33064;training
0;0;336688;5382;17930;training
0;0;322854;5378;31768;training
0;0;336475;5382;18143;training
0;0;328000;5382;26618;training
0;0;337433;5366;17201;training
0;0;326217;5376;28407;training
0;0;318149;5378;36473;training
0;0;318304;5378;36318;training
0;0;328055;5382;26563;training
0;0;334526;5352;20122;training
0;0;337430;5382;17188;training
0;0;334517;5382;20101;training
0;0;331727;5378;22895;training
1;0;323933;5356;30711;training
1;0;323940;5378;30682;training
1;0;318959;5378;35663;training
1;0;335799;5380;18821;training
1;0;328636;5382;25982;training
1;0;330125;5382;24493;training
1;0;329560;5382;25058;training
1;0;331490;5376;23134;training
1;0;328594;5378;26028;training
1;0;325073;5378;29549;training
1;0;331044;5382;23574;training
1;0;321608;5382;33010;training
1;0;333616;5373;21011;training
1;0;323258;5382;31360;training
1;0;326090;5382;28528;training
