                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3908,                 3.7213,                 1.2889,                 1.5503,                 7.7192,                 1.2425,                0.00976,                   0.75,                0.07528,                0.06466,                0.59567,                 3.0808,                  1.046,                0.99213,                  5.201,                 1.1623,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.3552,                 3.8872,                 1.1652,                  1.701,                 9.1568,                 1.1797,                0.01021,                   0.75,                 0.0649,                 0.0408,                0.63669,                 3.0554,                  1.019,                0.85312,                 5.1496,                 1.1088,             8.3267e-05,             8.3267e-05,             8.3267e-05
                      3,                 1.3856,                  3.532,                 1.5662,                 1.7997,                 7.5623,                 1.4871,                0.01044,                   0.75,                0.15747,                 0.1065,                0.49403,                 2.9783,                0.84802,                0.65663,                 5.0795,                0.88011,              0.0001331,              0.0001331,              0.0001331
                      4,                 1.1585,                 2.9297,                 1.2394,                 1.3155,                  6.202,                 1.1123,                0.01005,                   0.75,                0.51019,                0.48765,                0.48674,                  2.987,                0.83628,                0.70921,                 5.0913,                0.88907,             0.00018283,             0.00018283,             0.00018283
                      5,                0.87272,                 2.6208,                 1.1033,                 1.1482,                 7.5425,                 1.0697,                0.00984,                   0.75,                0.51792,                0.49094,                0.52893,                 3.0489,                0.88658,                0.77422,                 5.1074,                0.89108,             0.00023246,             0.00023246,             0.00023246
                      6,                 1.2289,                  2.382,                 1.2679,                 1.5053,                 6.4036,                 1.1642,                0.00975,                   0.75,                0.18751,                0.10976,                0.48439,                 3.0306,                0.89339,                0.89095,                 5.1639,                0.95963,             0.00028199,             0.00028199,             0.00028199
                      7,                 1.1764,                 3.2414,                 1.2709,                 1.3298,                 8.4207,                 1.1531,                0.00972,                   0.75,                0.03916,                  0.034,                0.52862,                 3.0459,                0.89697,                0.84585,                 5.1529,                0.92681,             0.00033142,             0.00033142,             0.00033142
                      8,                 1.1198,                 3.2917,                 1.2244,                 1.4307,                   7.56,                 1.1432,                0.00978,                   0.75,                0.03824,                0.03362,                0.51151,                 3.0301,                0.91767,                0.85549,                 5.1566,                0.93779,             0.00038075,             0.00038075,             0.00038075
                      9,                 1.2047,                 3.6787,                 1.1631,                 1.1544,                 10.218,                 1.0017,                0.00981,                   0.75,                0.27023,                0.23848,                0.59097,                 3.0447,                0.98521,                0.99159,                 5.2167,                 1.0623,             0.00042999,             0.00042999,             0.00042999
                     10,                 1.1734,                 2.6394,                 1.2366,                 1.2099,                 6.1991,                 1.1449,                0.01005,                   0.75,                0.29116,                0.24133,                0.75034,                 2.9855,                 0.9701,                0.85341,                 5.1516,                  1.033,             0.00047912,             0.00047912,             0.00047912
