Name;Category;minFrequence;maxFrequence;avgFrequence;skewnessFrequence;varianceFrequence;energyFrequence;kurtosisFrequence;minAmplitude;maxAmplitude;avgAmplitude;skewnessAmplitude;varianceAmplitude;energyAmplitude;kurtosisAmplitude
A8.png;Artefact;1;10;10;-1.330937732;28.5;385;1.887719298;3.23480609e-09;2;1.66003608;-1.47340744;0.817735438;103548.2846;2.367158878 
A4.png;Artefact;1;10;10;-1.330937732;28.5;385;1.887719298;5.074440868e-10;1.999999999;1.546278461;-1.390892017;0.7637656242;153839.4291;2.196291729 
A25.png;Artefact;1;10;10;-1.330937732;28.5;385;1.887719298;3.222289102e-10;1.999999998;1.816200065;-1.555790166;0.8739193773;69574.83654;2.593863923 
A21.png;Artefact;1;10;10;-1.330937732;28.5;385;1.887719298;4.650003604e-09;1.999999987;1.508785601;-1.366366295;0.7324506274;53221.68485;2.156765437 
D103.png;Defect;1;10;10;-1.330937732;28.5;385;1.887719298;6.569774724e-10;2;1.614071149;-1.443502343;0.7945448216;53640.71359;2.301389611 
D19.png;Defect;1;10;10;-1.330937732;28.5;385;1.887719298;7.681677516e-11;1.999999997;1.902932265;-1.561501478;0.8888598349;43310.25771;2.651658985 
D33.png;Defect;1;10;10;-1.330937732;28.5;385;1.887719298;3.348218902e-08;1.999999991;1.681530504;-1.456848354;0.8038088657;22803.34382;2.335414233 
D49.png;Defect;1;10;10;-1.330937732;28.5;385;1.887719298;1.081954304e-09;2;1.522611398;-1.366688978;0.7568658716;148050.1339;2.147600855 
D55.png;Defect;1;10;10;-1.330937732;28.5;385;1.887719298;2.142052868e-09;1.999999999;1.563697235;-1.403799715;0.7796981666;82073.42788;2.220123668 
D63.png;Defect;1;10;10;-1.330937732;28.5;385;1.887719298;6.897438176e-11;2;1.719378324;-1.513617318;0.8442384682;73944.61611;2.469906082 
D69.png;Defect;1;10;10;-1.330937732;28.5;385;1.887719298;4.713240909e-11;2;1.527044791;-1.368978137;0.7684683278;147463.666;2.145221763 
