Name;Category;minFrequence;maxFrequence;avgFrequence;skewnessFrequence;varianceFrequence;energyFrequence;kurtosisFrequence;minAmplitude;maxAmplitude;avgAmplitude;skewnessAmplitude;varianceAmplitude;energyAmplitude;kurtosisAmplitude
A8.png;Artefact;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1362.43;94.11759787;3.371690017;21146.0936;1.293363037e+10;20.68382592 
A4.png;Artefact;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1285.45;83.90109011;3.982799946;14055.33256;1.400144289e+10;29.17339526 
A25.png;Artefact;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1383.2;145.9027084;2.131200921;32204.65712;1.195882875e+10;12.31485387 
A21.png;Artefact;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1304.22;185.8188486;0.7510340557;42749.35821;1.571633732e+10;4.554395782 
D103.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1902.39;203.5872803;1.159406896;58080.30435;1.956460348e+10;6.285604794 
D19.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;350.65;84.49775564;-0.1986428427;5330.979435;1227485209;2.16756173 
D33.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1911.54;316.4526878;1.033757522;134598.3583;1.94754299e+10;4.999172492 
D49.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1804.99;215.6141327;0.980574236;49586.49109;4.820627244e+10;6.700816271 
D55.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1348.26;174.0546186;0.6062299018;29570.98837;1.561937853e+10;5.11528742 
D63.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1145.75;125.7853096;1.665456481;22650.28083;9572343757;8.908332197 
D69.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1444.63;129.7433984;1.987622651;18618.86308;1.792577541e+10;14.8443444 
