Name;Category;minFrequence;maxFrequence;avgFrequence;skewnessFrequence;varianceFrequence;energyFrequence;kurtosisFrequence;minAmplitude;maxAmplitude;avgAmplitude;skewnessAmplitude;varianceAmplitude;energyAmplitude;kurtosisAmplitude
A8.png;Artefact;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1893.07;103.9923846;4.217228655;31332.18794;1.915423185e+10;29.58972441 
A4.png;Artefact;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1847.94;78.20817177;5.720628051;18112.91282;1.802987042e+10;51.02376929 
A25.png;Artefact;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1684.23;141.6028746;3.198183459;34313.56476;1.273964256e+10;22.36771881 
A21.png;Artefact;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1897.56;221.5982752;1.078409092;65451.034;2.405196946e+10;6.649262852 
D103.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;2417.42;240.9713949;2.049618534;104251.8476;3.50982592e+10;10.92970717 
D19.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;441.09;92.79677914;-0.04626730575;6484.127762;1491961972;2.943804857 
D33.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;2376.82;372.1119286;1.199539568;197997.1017;2.864271297e+10;5.664949063 
D49.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;2102.01;241.5640563;1.052169186;61441.67811;5.972009472e+10;8.063186513 
D55.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1313.74;183.6542813;0.5011060506;32033.56901;1.69189593e+10;4.862804245 
D63.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;1559.35;136.7167285;2.45538957;30993.48169;1.309151376e+10;14.74775052 
D69.png;Defect;0;98;98;-1.302314204;3217.666667;318549;1.809074899;0;2006.68;139.8856102;3.286420468;25087.05693;2.41376275e+10;28.89820879 
