Name;Category;0.0;0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1.0
A8.png;Artefact;236;1539;1334;979;358;378;305;352;312;261;113 
A4.png;Artefact;244;1162;1186;1282;1223;1205;1174;1272;996;245;47 
A25.png;Artefact;252;1563;1083;332;161;54;64;85;93;7;50 
A21.png;Artefact;0;285;763;1125;493;453;407;43;98;0;45  
D103.png;Defect;379;650;575;649;162;225;712;54;0;0;17  
D19.png;Defect;22;184;335;394;352;353;324;205;80;54;25  
D33.png;Defect;0;3;499;618;3;22;9;2;0;186;119 
D49.png;Defect;0;438;1718;2087;1933;1343;1338;521;217;175;79 
D55.png;Defect;0;189;946;1030;708;510;572;602;493;195;82 
D63.png;Defect;172;1187;751;695;289;352;225;218;231;104;35 
D69.png;Defect;277;1689;2093;2448;1356;852;485;244;72;140;39 
